date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:15	1175/1175	------	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Feb%202022%2016:13:43%20GMT	http://mdc.17173.com/82	E:/mdc2/mdc/mdc.17173.com/82.html	(from http://mdc.17173.com/chongqing2017)
00:31:15	134326/134326	------	200	untouched ('')	image/jpeg	date:Mon,%2025%20Dec%202017%2003:16:37%20GMT	http://i1.17173cdn.com/7m10xk/YWxqaGBf/2017/12/25/151417179786510.jpg	E:/mdc2/mdc/i1.17173cdn.com/7m10xk/YWxqaGBf/2017/12/25/151417179786510.jpg	(from http://mdc.17173.com/chongqing2017)
00:31:15	153383/153383	------	200	untouched ('')	image/jpeg	date:Mon,%2025%20Dec%202017%2003:16:37%20GMT	http://i2.17173cdn.com/7m10xk/YWxqaGBf/2017/12/25/151417179791059.jpg	E:/mdc2/mdc/i2.17173cdn.com/7m10xk/YWxqaGBf/2017/12/25/151417179791059.jpg	(from http://mdc.17173.com/chongqing2017)
00:31:15	15911/15911	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:13:53%20GMT	http://mdc.17173.com/article/info-6493.html	E:/mdc2/mdc/mdc.17173.com/article/info-6493.html	(from http://mdc.17173.com/chongqing2017)
00:31:15	17357/17357	------	200	untouched ('')	image/jpeg	date:Sun,%2010%20Dec%202017%2002:01:16%20GMT	http://i2.17173cdn.com/7m10xk/YWxqaGBf/2017/12/10/151287127629812.jpg	E:/mdc2/mdc/i2.17173cdn.com/7m10xk/YWxqaGBf/2017/12/10/151287127629812.jpg	(from http://mdc.17173.com/chongqing2017)
00:31:15	56147/56147	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:13:54%20GMT	http://mdc.17173.com/article/info-5900.html	E:/mdc2/mdc/mdc.17173.com/article/info-5900.html	(from http://mdc.17173.com/chengdu2017)
00:31:15	8269/8269	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:13:55%20GMT	http://mdc.17173.com/lists/chengdu2017?cid=43	E:/mdc2/mdc/mdc.17173.com/lists/chengdu20171eb7.html	(from http://mdc.17173.com/chengdu2017)
00:31:15	8269/8269	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:13:55%20GMT	http://mdc.17173.com/lists/chengdu2017?cid=44	E:/mdc2/mdc/mdc.17173.com/lists/chengdu201775d3.html	(from http://mdc.17173.com/chengdu2017)
00:31:15	8269/8269	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:13:56%20GMT	http://mdc.17173.com/lists/chengdu2017?cid=47	E:/mdc2/mdc/mdc.17173.com/lists/chengdu20176fb9.html	(from http://mdc.17173.com/chengdu2017)
00:31:15	8269/8269	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:13:56%20GMT	http://mdc.17173.com/lists/chengdu2017?cid=46	E:/mdc2/mdc/mdc.17173.com/lists/chengdu2017431f.html	(from http://mdc.17173.com/chengdu2017)
00:31:15	25752/25752	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:13:57%20GMT	http://mdc.17173.com/article/info-5908.html	E:/mdc2/mdc/mdc.17173.com/article/info-5908.html	(from http://mdc.17173.com/chengdu2017)
00:31:15	32592/32592	------	200	untouched ('')	image/jpeg	date:Tue,%2021%20Mar%202017%2003:58:56%20GMT	http://i3.17173cdn.com/7m10xk/YWxqaGBf/2017/03/21/149006873520255.jpg	E:/mdc2/mdc/i3.17173cdn.com/7m10xk/YWxqaGBf/2017/03/21/149006873520255.jpg	(from http://mdc.17173.com/chengdu2017)
00:31:15	17652/17652	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:13:57%20GMT	http://mdc.17173.com/article/info-5907.html	E:/mdc2/mdc/mdc.17173.com/article/info-5907.html	(from http://mdc.17173.com/chengdu2017)
00:31:15	12804/12804	------	200	untouched ('')	image/jpeg	date:Tue,%2021%20Mar%202017%2002:37:43%20GMT	http://i3.17173cdn.com/7m10xk/YWxqaGBf/2017/03/21/149006386386636.jpg	E:/mdc2/mdc/i3.17173cdn.com/7m10xk/YWxqaGBf/2017/03/21/149006386386636.jpg	(from http://mdc.17173.com/chengdu2017)
00:31:15	18003/18003	------	200	untouched ('')	image/jpeg	date:Mon,%2008%20Aug%202016%2009:18:50%20GMT	http://i2.17173cdn.com/7m10xk/YWxqaGBf/2016/08/08/147064793057593.jpg	E:/mdc2/mdc/i2.17173cdn.com/7m10xk/YWxqaGBf/2016/08/08/147064793057593.jpg	(from http://mdc.17173.com/chengdu2017)
00:31:15	1175/1175	------	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Feb%202022%2016:14:03%20GMT	http://mdc.17173.com/43	E:/mdc2/mdc/mdc.17173.com/43.html	(from http://mdc.17173.com/chengdu2017)
00:31:15	1175/1175	------	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Feb%202022%2016:14:03%20GMT	http://mdc.17173.com/44	E:/mdc2/mdc/mdc.17173.com/44.html	(from http://mdc.17173.com/chengdu2017)
